course_code,chunk
FARE*4240,"10.00 credits including [1 of (ECON*2560 or FIN*2000), ECON*3560, FARE*2410, MGMT*3320]"
FARE*4290,"(FARE*2700, or ECON*2310) 0.50 credits at the 3000 or 4000 level in FARE or ECON"
FARE*4310,"(1 of FARE*2700, ECON*2310, ECON*2100), 0.50 credits at the 3000 or 4000 level in FARE or ECON"
FARE*4360,1 of ECON*2740
FARE*4370,10.00 credits including (ACCT*2230 or MCS*2600)
FARE*4550,10.00 credits including (FARE*2410 or FARE*2700)
FARE*4560,10.00 credits including (FARE*2410 or FARE*2700)
FREN*1200,"1 of FREN*1100, FREN*1150, Grade 12U French or permission of the School of Languages and Literatures"
FREN*1300,"FREN*1200 or equivalent, such as grade 12 French Immersion"
FREN*3700,10.00 credits including 1.50 credits in French Studies
FREN*4010,1.00 credits at the 3000-level in French
FREN*4020,1.00 credits at the 3000-level in French
FREN*4290,1.00 credits at the 3000-level in French
FREN*4600,1.00 credits at the 3000-level in French
FREN*4660,1.00 credits at the 3000-level in French
FREN*4740,1.00 credits at the 3000-level in French
GEOG*2000,1 of ENGG*1100
GEOG*2030,"4.00 credits, GEOG*1220 is recommended"
GEOG*2210,GEOG*1220 is recommended
GEOG*2260,1 of GEOG*1200
GEOG*2420,0.50 credits in Geography
GEOG*2460,0.50 credits at the 1000 or 2000 level in Geography
GEOG*2480,5.00 credits
GEOG*3000,"(1 of GEOG*2460, STAT*2040, STAT*2120, STAT*2230)"
GEOG*3020,7.50 credits
GEOG*3050,7.50 credits
GEOG*3090,7.50 credits
GEOG*3110,"(1 of GEOG*2460, STAT*2040, STAT*2230)"
GEOG*3110,"(1 of BIOL*2060, ENVS*2030, GEOG*2110)"
GEOG*3210,1 of GEOG*2030
GEOG*3320,7.50 credits
GEOG*3420,10.00 credits including GEOG*2420
GEOG*3480,"10.00 credits, including GEOG*2480"
GEOG*3490,7.50 credits
GEOG*3600,7.50 credits
GEOG*3610,"7.50 credits, including (GEOG*2000 or GEOG*2110), (1 of GEOG*2460, STAT*2040, STAT*2230)"
GERM*2490,12U German
GERM*3000,GERM*2010 or 2.50 credits in German
GERM*3020,GERM*2010 or 2.50 credits in German
GERM*3150,GERM*2010 or 2.50 credits in GERM
GERM*3470,GERM*2010 or 2.50 credits in GERM
GERM*3700,10.00 credits including 1.50 credits in German
GREK*1110,4U Greek
HIST*2000,2.00 credits
HIST*2020,2.00 credits
HIST*2040,2.00 credits
HIST*2070,2.00 credits
HIST*2090,2.00 credits
HIST*2100,2.00 credits
HIST*2120,2.00 credits
HIST*2130,2.00 credits
HIST*2160,2.00 credits
HIST*2180,2.00 credits
HIST*2190,2.00 credits
HIST*2200,2.00 credits
HIST*2210,2.00 credits
HIST*2220,2.00 credits
HIST*2240,2.00 credits
HIST*2250,2.00 credits
HIST*2260,2.00 credits
HIST*2280,2.00 credits
HIST*2300,2.00 credits
HIST*2340,2.00 credits
