course_code,chunk
CIS*3090,CIS*3110
CIS*3110,CIS*2520
CIS*3110,(CIS*2030 or ENGG*2410)
CIS*3120,CIS*1910
CIS*3120,CIS*2500
CIS*3130,CIS*2500
CIS*3130,STAT*2040
CIS*3150,CIS*2750
CIS*3150,CIS*3490
CIS*3210,CIS*3110
CIS*3250,CIS*2250
CIS*3250,CIS*2500
CIS*3260,CIS*2750
CIS*3260,CIS*3250
CIS*3260,CIS*3760
CIS*3490,CIS*2520
CIS*3530,CIS*2520
CIS*3700,(CIS*3750 or CIS*3760)
CIS*3700,(CIS*2460 or STAT*2040)
CIS*3760,CIS*2750
CIS*3760,CIS*3750
CIS*4010,CIS*3110
COOP*1000,COOP*1100
COOP*1010,COOP*1110
CREA*2000,CREA*1000
CREA*2000,CREA*1010
CREA*2010,CREA*1000
CREA*2010,CREA*1010
CREA*3000,CREA*2010
CREA*3010,CREA*3000
CREA*4000,CREA*3010
CREA*4010,CREA*4000
CRWR*2100,CRWR*1000
CRWR*2100,ENGL*2920
CRWR*2150,CRWR*1000
CRWR*2150,ENGL*2920
CRWR*2200,CRWR*1000
CRWR*2200,ENGL*2920
CRWR*2300,CRWR*1000
CRWR*2300,ENGL*2920
CRWR*2400,CRWR*1000
CRWR*2400,ENGL*2920
CRWR*3100,CRWR*2150
CRWR*3100,"(ENGL*1080, ENGL*2920)"
CRWR*3200,CRWR*2200
CRWR*3200,"(ENGL*1080, ENGL*2920)"
CRWR*3300,CRWR*2300
CRWR*3400,CRWR*2400
CRWR*3500,CRWR*2400
CRWR*3500,THST*2120
CRWR*4100,CRWR*3100
CRWR*4300,CRWR*3300
CRWR*4400,CRWR*3400
CRWR*4400,CRWR*3500
IMPR*6510,IMPR*6500
CROP*3300,AGR*2050
CROP*3300,AGR*2470
CROP*3310,AGR*2050
CROP*3310,AGR*2470
CROP*3340,AGR*2320
CROP*3340,AGR*2470
CROP*3340,ENVS*2060
CROP*4240,AGR*2470
CTS*3000,CTS*1000
CTS*3000,(CTS*2000 or CTS*2010)
CTS*3010,CTS*1000
CTS*3010,(CTS*2000 or CTS*2010)
CTS*3030,CTS*2000
CTS*3030,CTS*2010
CTS*4010,CTS*2000
CTS*4010,CTS*2010
DATA*6600,DATA*6200 and DATA*6300
ECS*1030,ECS*1000
ECS*1070,ECS*1010
ECS*1080,ECS*1000
ECS*2000,ECS*1010
ECS*2000,(AHSS*2040 or ECS*1050)
ECS*2010,ECS*1010
ECS*2010,ECS*1030
ECS*2010,(AHSS*2040 or ECS*1050)
ECS*2030,AHSS*2040
ECS*2030,ECS*1050
ECS*2040,ECS*1030
ECS*2040,ECS*2050
ECS*2040,(AHSS*2040 or ECS*1050)
ECS*2050,ECS*1010
ECS*2050,ECS*1070
ECS*2050,(AHSS*2040 or ECS*1050)
ECS*2060,ECS*2050
